Date,Ticker,PE,Debt_Equity,ROE,EPS,Revenue,EBITDA_Margin,Promoter_Holding
2020-01-01,BHARTIARTL,,,,,,,
2020-01-01,HDFCBANK,,,,,,,
2020-01-01,HUL,,,,,,,
2020-01-01,INFY,,,,,,,
2020-01-01,MM,,,,,,,
2020-01-01,RELIANCE,,,,,,,
2020-01-02,BHARTIARTL,,,,,,,
2020-01-02,HDFCBANK,,,,,,,
2020-01-02,HUL,,,,,,,
2020-01-02,INFY,,,,,,,
2020-01-02,MM,,,,,,,
2020-01-02,RELIANCE,,,,,,,
2020-01-03,BHARTIARTL,,,,,,,
2020-01-03,HDFCBANK,,,,,,,
2020-01-03,HUL,,,,,,,
2020-01-03,INFY,,,,,,,
2020-01-03,MM,,,,,,,
2020-01-03,RELIANCE,,,,,,,
2020-01-06,BHARTIARTL,,,,,,,
2020-01-06,HDFCBANK,,,,,,,
2020-01-06,HUL,,,,,,,
2020-01-06,INFY,,,,,,,
2020-01-06,MM,,,,,,,
2020-01-06,RELIANCE,,,,,,,
2020-01-07,BHARTIARTL,,,,,,,
2020-01-07,HDFCBANK,,,,,,,
2020-01-07,HUL,,,,,,,
2020-01-07,INFY,,,,,,,
2020-01-07,MM,,,,,,,
2020-01-07,RELIANCE,,,,,,,
2020-01-08,BHARTIARTL,,,,,,,
2020-01-08,HDFCBANK,,,,,,,
2020-01-08,HUL,,,,,,,
2020-01-08,INFY,,,,,,,
2020-01-08,MM,,,,,,,
2020-01-08,RELIANCE,,,,,,,
2020-01-09,BHARTIARTL,,,,,,,
2020-01-09,HDFCBANK,,,,,,,
2020-01-09,HUL,,,,,,,
2020-01-09,INFY,,,,,,,
2020-01-09,MM,,,,,,,
2020-01-09,RELIANCE,,,,,,,
2020-01-10,BHARTIARTL,,,,,,,
2020-01-10,HDFCBANK,,,,,,,
2020-01-10,HUL,,,,,,,
2020-01-10,INFY,,,,,,,
2020-01-10,MM,,,,,,,
2020-01-10,RELIANCE,,,,,,,
2020-01-13,BHARTIARTL,,,,,,,
2020-01-13,HDFCBANK,,,,,,,
2020-01-13,HUL,,,,,,,
2020-01-13,INFY,,,,,,,
2020-01-13,MM,,,,,,,
2020-01-13,RELIANCE,,,,,,,
2020-01-14,BHARTIARTL,,,,,,,
2020-01-14,HDFCBANK,,,,,,,
2020-01-14,HUL,,,,,,,
2020-01-14,INFY,,,,,,,
2020-01-14,MM,,,,,,,
2020-01-14,RELIANCE,,,,,,,
2020-01-15,BHARTIARTL,,,,,,,
2020-01-15,HDFCBANK,,,,,,,
2020-01-15,HUL,,,,,,,
2020-01-15,INFY,,,,,,,
2020-01-15,MM,,,,,,,
2020-01-15,RELIANCE,,,,,,,
2020-01-16,BHARTIARTL,,,,,,,
2020-01-16,HDFCBANK,,,,,,,
2020-01-16,HUL,,,,,,,
2020-01-16,INFY,,,,,,,
2020-01-16,MM,,,,,,,
2020-01-16,RELIANCE,,,,,,,
2020-01-17,BHARTIARTL,,,,,,,
2020-01-17,HDFCBANK,,,,,,,
2020-01-17,HUL,,,,,,,
2020-01-17,INFY,,,,,,,
2020-01-17,MM,,,,,,,
2020-01-17,RELIANCE,,,,,,,
2020-01-20,BHARTIARTL,,,,,,,
2020-01-20,HDFCBANK,,,,,,,
2020-01-20,HUL,,,,,,,
2020-01-20,INFY,,,,,,,
2020-01-20,MM,,,,,,,
2020-01-20,RELIANCE,,,,,,,
2020-01-21,BHARTIARTL,,,,,,,
2020-01-21,HDFCBANK,,,,,,,
2020-01-21,HUL,,,,,,,
2020-01-21,INFY,,,,,,,
2020-01-21,MM,,,,,,,
2020-01-21,RELIANCE,,,,,,,
2020-01-22,BHARTIARTL,,,,,,,
2020-01-22,HDFCBANK,,,,,,,
2020-01-22,HUL,,,,,,,
2020-01-22,INFY,,,,,,,
2020-01-22,MM,,,,,,,
2020-01-22,RELIANCE,,,,,,,
2020-01-23,BHARTIARTL,,,,,,,
2020-01-23,HDFCBANK,,,,,,,
2020-01-23,HUL,,,,,,,
2020-01-23,INFY,,,,,,,
2020-01-23,MM,,,,,,,
2020-01-23,RELIANCE,,,,,,,
2020-01-24,BHARTIARTL,,,,,,,
2020-01-24,HDFCBANK,,,,,,,
2020-01-24,HUL,,,,,,,
2020-01-24,INFY,,,,,,,
2020-01-24,MM,,,,,,,
2020-01-24,RELIANCE,,,,,,,
2020-01-27,BHARTIARTL,,,,,,,
2020-01-27,HDFCBANK,,,,,,,
2020-01-27,HUL,,,,,,,
2020-01-27,INFY,,,,,,,
2020-01-27,MM,,,,,,,
2020-01-27,RELIANCE,,,,,,,
2020-01-28,BHARTIARTL,,,,,,,
2020-01-28,HDFCBANK,,,,,,,
2020-01-28,HUL,,,,,,,
2020-01-28,INFY,,,,,,,
2020-01-28,MM,,,,,,,
2020-01-28,RELIANCE,,,,,,,
2020-01-29,BHARTIARTL,,,,,,,
2020-01-29,HDFCBANK,,,,,,,
2020-01-29,HUL,,,,,,,
2020-01-29,INFY,,,,,,,
2020-01-29,MM,,,,,,,
2020-01-29,RELIANCE,,,,,,,
2020-01-30,BHARTIARTL,,,,,,,
2020-01-30,HDFCBANK,,,,,,,
2020-01-30,HUL,,,,,,,
2020-01-30,INFY,,,,,,,
2020-01-30,MM,,,,,,,
2020-01-30,RELIANCE,,,,,,,
2020-01-31,BHARTIARTL,,,,,,,
2020-01-31,HDFCBANK,,,,,,,
2020-01-31,HUL,,,,,,,
2020-01-31,INFY,,,,,,,
2020-01-31,MM,,,,,,,
2020-01-31,RELIANCE,,,,,,,
2020-02-03,BHARTIARTL,,,,,,,
2020-02-03,HDFCBANK,,,,,,,
2020-02-03,HUL,,,,,,,
2020-02-03,INFY,,,,,,,
2020-02-03,MM,,,,,,,
2020-02-03,RELIANCE,,,,,,,
2020-02-04,BHARTIARTL,,,,,,,
2020-02-04,HDFCBANK,,,,,,,
2020-02-04,HUL,,,,,,,
2020-02-04,INFY,,,,,,,
2020-02-04,MM,,,,,,,
2020-02-04,RELIANCE,,,,,,,
2020-02-05,BHARTIARTL,,,,,,,
2020-02-05,HDFCBANK,,,,,,,
2020-02-05,HUL,,,,,,,
2020-02-05,INFY,,,,,,,
2020-02-05,MM,,,,,,,
2020-02-05,RELIANCE,,,,,,,
2020-02-06,BHARTIARTL,,,,,,,
2020-02-06,HDFCBANK,,,,,,,
2020-02-06,HUL,,,,,,,
2020-02-06,INFY,,,,,,,
2020-02-06,MM,,,,,,,
2020-02-06,RELIANCE,,,,,,,
2020-02-07,BHARTIARTL,,,,,,,
2020-02-07,HDFCBANK,,,,,,,
2020-02-07,HUL,,,,,,,
2020-02-07,INFY,,,,,,,
2020-02-07,MM,,,,,,,
2020-02-07,RELIANCE,,,,,,,
2020-02-10,BHARTIARTL,,,,,,,
2020-02-10,HDFCBANK,,,,,,,
2020-02-10,HUL,,,,,,,
2020-02-10,INFY,,,,,,,
2020-02-10,MM,,,,,,,
2020-02-10,RELIANCE,,,,,,,
2020-02-11,BHARTIARTL,,,,,,,
2020-02-11,HDFCBANK,,,,,,,
2020-02-11,HUL,,,,,,,
2020-02-11,INFY,,,,,,,
2020-02-11,MM,,,,,,,
2020-02-11,RELIANCE,,,,,,,
2020-02-12,BHARTIARTL,,,,,,,
2020-02-12,HDFCBANK,,,,,,,
2020-02-12,HUL,,,,,,,
2020-02-12,INFY,,,,,,,
2020-02-12,MM,,,,,,,
2020-02-12,RELIANCE,,,,,,,
2020-02-13,BHARTIARTL,,,,,,,
2020-02-13,HDFCBANK,,,,,,,
2020-02-13,HUL,,,,,,,
2020-02-13,INFY,,,,,,,
2020-02-13,MM,,,,,,,
2020-02-13,RELIANCE,,,,,,,
2020-02-14,BHARTIARTL,,,,,,,
2020-02-14,HDFCBANK,,,,,,,
2020-02-14,HUL,,,,,,,
2020-02-14,INFY,,,,,,,
2020-02-14,MM,,,,,,,
2020-02-14,RELIANCE,,,,,,,
2020-02-17,BHARTIARTL,,,,,,,
2020-02-17,HDFCBANK,,,,,,,
2020-02-17,HUL,,,,,,,
2020-02-17,INFY,,,,,,,
2020-02-17,MM,,,,,,,
2020-02-17,RELIANCE,,,,,,,
2020-02-18,BHARTIARTL,,,,,,,
2020-02-18,HDFCBANK,,,,,,,
2020-02-18,HUL,,,,,,,
2020-02-18,INFY,,,,,,,
2020-02-18,MM,,,,,,,
2020-02-18,RELIANCE,,,,,,,
2020-02-19,BHARTIARTL,,,,,,,
2020-02-19,HDFCBANK,,,,,,,
2020-02-19,HUL,,,,,,,
2020-02-19,INFY,,,,,,,
2020-02-19,MM,,,,,,,
2020-02-19,RELIANCE,,,,,,,
2020-02-20,BHARTIARTL,,,,,,,
2020-02-20,HDFCBANK,,,,,,,
2020-02-20,HUL,,,,,,,
2020-02-20,INFY,,,,,,,
2020-02-20,MM,,,,,,,
2020-02-20,RELIANCE,,,,,,,
2020-02-21,BHARTIARTL,,,,,,,
2020-02-21,HDFCBANK,,,,,,,
2020-02-21,HUL,,,,,,,
2020-02-21,INFY,,,,,,,
2020-02-21,MM,,,,,,,
2020-02-21,RELIANCE,,,,,,,
2020-02-24,BHARTIARTL,,,,,,,
2020-02-24,HDFCBANK,,,,,,,
2020-02-24,HUL,,,,,,,
2020-02-24,INFY,,,,,,,
2020-02-24,MM,,,,,,,
2020-02-24,RELIANCE,,,,,,,
2020-02-25,BHARTIARTL,,,,,,,
2020-02-25,HDFCBANK,,,,,,,
2020-02-25,HUL,,,,,,,
2020-02-25,INFY,,,,,,,
2020-02-25,MM,,,,,,,
2020-02-25,RELIANCE,,,,,,,
2020-02-26,BHARTIARTL,,,,,,,
2020-02-26,HDFCBANK,,,,,,,
2020-02-26,HUL,,,,,,,
2020-02-26,INFY,,,,,,,
2020-02-26,MM,,,,,,,
2020-02-26,RELIANCE,,,,,,,
2020-02-27,BHARTIARTL,,,,,,,
2020-02-27,HDFCBANK,,,,,,,
2020-02-27,HUL,,,,,,,
2020-02-27,INFY,,,,,,,
2020-02-27,MM,,,,,,,
2020-02-27,RELIANCE,,,,,,,
2020-02-28,BHARTIARTL,,,,,,,
2020-02-28,HDFCBANK,,,,,,,
2020-02-28,HUL,,,,,,,
2020-02-28,INFY,,,,,,,
2020-02-28,MM,,,,,,,
2020-02-28,RELIANCE,,,,,,,
2020-03-02,BHARTIARTL,,,,,,,
2020-03-02,HDFCBANK,,,,,,,
2020-03-02,HUL,,,,,,,
2020-03-02,INFY,,,,,,,
2020-03-02,MM,,,,,,,
2020-03-02,RELIANCE,,,,,,,
2020-03-03,BHARTIARTL,,,,,,,
2020-03-03,HDFCBANK,,,,,,,
2020-03-03,HUL,,,,,,,
2020-03-03,INFY,,,,,,,
2020-03-03,MM,,,,,,,
2020-03-03,RELIANCE,,,,,,,
2020-03-04,BHARTIARTL,,,,,,,
2020-03-04,HDFCBANK,,,,,,,
2020-03-04,HUL,,,,,,,
2020-03-04,INFY,,,,,,,
2020-03-04,MM,,,,,,,
2020-03-04,RELIANCE,,,,,,,
2020-03-05,BHARTIARTL,,,,,,,
2020-03-05,HDFCBANK,,,,,,,
2020-03-05,HUL,,,,,,,
2020-03-05,INFY,,,,,,,
2020-03-05,MM,,,,,,,
2020-03-05,RELIANCE,,,,,,,
2020-03-06,BHARTIARTL,,,,,,,
2020-03-06,HDFCBANK,,,,,,,
2020-03-06,HUL,,,,,,,
2020-03-06,INFY,,,,,,,
2020-03-06,MM,,,,,,,
2020-03-06,RELIANCE,,,,,,,
2020-03-09,BHARTIARTL,,,,,,,
2020-03-09,HDFCBANK,,,,,,,
2020-03-09,HUL,,,,,,,
2020-03-09,INFY,,,,,,,
2020-03-09,MM,,,,,,,
2020-03-09,RELIANCE,,,,,,,
2020-03-10,BHARTIARTL,,,,,,,
2020-03-10,HDFCBANK,,,,,,,
2020-03-10,HUL,,,,,,,
2020-03-10,INFY,,,,,,,
2020-03-10,MM,,,,,,,
2020-03-10,RELIANCE,,,,,,,
2020-03-11,BHARTIARTL,,,,,,,
2020-03-11,HDFCBANK,,,,,,,
2020-03-11,HUL,,,,,,,
2020-03-11,INFY,,,,,,,
2020-03-11,MM,,,,,,,
2020-03-11,RELIANCE,,,,,,,
2020-03-12,BHARTIARTL,,,,,,,
2020-03-12,HDFCBANK,,,,,,,
2020-03-12,HUL,,,,,,,
2020-03-12,INFY,,,,,,,
2020-03-12,MM,,,,,,,
2020-03-12,RELIANCE,,,,,,,
2020-03-13,BHARTIARTL,,,,,,,
2020-03-13,HDFCBANK,,,,,,,
2020-03-13,HUL,,,,,,,
