,Sales +,Expenses +,Operating Profit,OPM %,Other Income +,Interest,Depreciation,Profit before tax,Tax %,Net Profit +,EPS in Rs,Raw PDF
2022-12-01,35804,17720,18085,51,-412,4686,9298,3689,29,2614,2.85,
2023-03-01,36009,17312,18697,52,886,5163,9406,5014,16,4226,5.39,
2023-06-01,37440,17842,19598,52,-2478,5614,9654,1853,18,1520,2.89,
2023-09-01,37044,17530,19514,53,-654,5186,9734,3940,47,2093,2.39,
2023-12-01,37900,18085,19815,52,1013,6645,10074,4108,30,2876,4.34,
2024-03-01,37599,18234,19365,52,-1308,5203,10075,2778,26,2068,3.66,
2024-06-01,38506,18799,19708,51,2010,5152,10540,6025,22,4718,7.31,
2024-09-01,41473,19627,21846,53,475,5424,11000,5897,30,4153,6.31,
2024-12-01,45129,20533,24597,54,9675,5676,11704,16892,4,16135,25.95,
2025-03-01,47876,20867,27009,56,403,5502,12326,9584,-30,12476,19.33,
2025-06-01,49463,21624,27839,56,592,5461,12465,10504,29,7422,10.43,
2025-09-01,52145,22584,29561,57,809,4866,13182,12322,30,8651,11.91,
2025-12-01,53982,23199,30783,57,562,5623,13420,12301,31,8503,11.63,
