,Revenue +,Interest,Expenses +,Financing Profit,Financing Margin %,Other Income +,Depreciation,Profit before tax,Tax %,Net Profit +,EPS in Rs,Gross NPA %,Net NPA %,Raw PDF
2022-12-01,45002,20505,16682,7815,17,9121,0,16936,25,12735,11.39,,,
2023-03-01,47548,22606,17770,7172,15,9610,0,16783,25,12634,11.29,,,
2023-06-01,51168,25955,18470,6744,13,9853,0,16597,25,12403,11.06,,,
2023-09-01,75039,41250,45349,-11560,-15,32528,0,20967,17,17312,11.09,,,
2023-12-01,78008,43242,50530,-15764,-20,37007,0,21243,17,17718,11.37,,,
2024-03-01,79434,43692,62938,-27196,-34,44958,0,17761,-1,18013,11.6,,,
2024-06-01,81546,44580,49690,-12723,-16,35450,0,22727,24,17188,10.83,,,
2024-09-01,83002,45414,52074,-14487,-17,38455,0,23968,22,18627,11.68,,,
2024-12-01,85040,46914,41307,-3181,-4,27154,0,23973,24,18340,11.54,,,
2025-03-01,86779,46986,47709,-7916,-9,33489,0,25573,25,19285,12.31,,,
2025-06-01,87372,47709,64497,-24833,-28,45683,0,20850,18,17090,10.6,,,
2025-09-01,86994,46741,45161,-4908,-6,31567,0,26659,24,20364,12.76,,,
2025-12-01,87067,45821,54145,-12899,-15,39860,0,26961,23,20691,12.87,,,
