,Sales +,Expenses +,Operating Profit,OPM %,Other Income +,Interest,Depreciation,Profit before tax,Tax %,Net Profit +,EPS in Rs,Raw PDF
2022-12-01,15597,11903,3694,24,7,29,293,3379,27,2481,10.53,
2023-03-01,15215,11643,3572,23,240,29,291,3492,26,2601,11.07,
2023-06-01,15496,11832,3664,24,146,50,286,3474,26,2556,10.87,
2023-09-01,15623,11828,3795,24,178,88,297,3588,26,2657,11.3,
2023-12-01,15567,11902,3665,24,184,91,313,3445,27,2508,10.68,
2024-03-01,15210,11675,3535,23,309,105,320,3419,25,2561,10.89,
2024-06-01,15707,11965,3742,24,209,93,329,3529,26,2612,11.11,
2024-09-01,15926,12139,3787,24,203,110,338,3542,27,2595,11.03,
2024-12-01,15556,11867,3689,24,733,109,318,3995,25,2989,12.7,
2025-03-01,15670,12052,3618,23,171,80,347,3362,26,2475,10.49,
2025-06-01,16514,12797,3717,23,74,127,361,3303,16,2768,11.73,
2025-09-01,15919,12137,3782,24,269,124,322,3605,25,2694,11.43,
2025-12-01,16441,12660,3781,23,4048,88,337,7404,11,6603,28.12,
