,Sales +,Expenses +,Operating Profit,OPM %,Other Income +,Interest,Depreciation,Profit before tax,Tax %,Net Profit +,EPS in Rs,Raw PDF
2022-12-01,38318,28951,9367,,769,80,1125,8931,,6586,15.7,
2023-03-01,37441,28443,8998,,671,82,1121,8466,,6134,14.77,
2023-06-01,37933,28869,9064,,561,90,1173,8362,,5945,14.32,
2023-09-01,38994,29554,9440,,632,138,1166,8768,,6215,14.97,
2023-12-01,38821,29684,9137,,789,131,1176,8619,,6113,14.71,
2024-03-01,37923,29139,8784,,2729,110,1163,10240,,7975,19.2,
2024-06-01,39315,29878,9437,,838,105,1149,9021,,6374,15.34,
2024-09-01,40986,31177,9809,,712,108,1160,9253,,6516,15.67,
2024-12-01,41764,31649,10115,,859,101,1203,9670,,6822,16.39,
2025-03-01,40925,31051,9874,,1190,102,1299,9663,,7038,16.93,
2025-06-01,42279,32336,9943,,1042,105,1140,9740,,6924,16.66,
2025-09-01,44490,33955,10535,,982,106,1182,10229,,7375,17.73,
2025-12-01,45479,34845,10634,,-150,100,1155,9229,,6666,16.41,
