Date,INDIA_10Y
2020-01-01,6.820000
2020-02-01,6.660000
2020-03-01,6.700000
2020-04-01,6.770000
2020-05-01,5.920000
2020-06-01,5.860000
2020-07-01,5.810000
2020-08-01,6.010000
2020-09-01,6.020000
2020-10-01,5.940000
2020-11-01,5.900000
2020-12-01,5.890000
2021-01-01,5.940000
2021-02-01,6.190000
2021-03-01,6.350000
2021-04-01,6.280000
2021-05-01,6.230000
2021-06-01,6.270000
2021-07-01,6.210000
2021-08-01,6.280000
2021-09-01,6.190000
2021-10-01,6.360000
2021-11-01,6.350000
2021-12-01,6.440000
2022-01-01,6.640000
2022-02-01,6.750000
2022-03-01,6.820000
2022-04-01,7.110000
2022-05-01,7.390000
2022-06-01,7.530000
2022-07-01,7.400000
2022-08-01,7.270000
2022-09-01,7.280000
2022-10-01,7.460000
2022-11-01,7.360000
2022-12-01,7.290000
2023-01-01,7.390000
2023-02-01,7.330000
2023-03-01,7.360000
2023-04-01,7.180000
2023-05-01,7.010000
2023-06-01,7.050000
2023-07-01,7.110000
2023-08-01,7.180000
2023-09-01,7.170000
2023-10-01,7.350000
2023-11-01,7.270000
2023-12-01,7.220000
2024-01-01,7.200000
2024-02-01,7.090000
2024-03-01,7.070000
2024-04-01,7.150000
2024-05-01,7.050000
2024-06-01,7.020000
2024-07-01,7.010000
2024-08-01,6.910000
2024-09-01,6.830000
2024-10-01,6.790000
2024-11-01,6.820000
2024-12-01,6.780000
2025-01-01,6.760000
2025-02-01,6.730000
2025-03-01,6.680000
2025-04-01,6.460000
2025-05-01,6.270000
2025-06-01,6.310000
2025-07-01,6.350000
2025-08-01,6.520000
2025-09-01,6.590000
2025-10-01,6.480000
2025-11-01,6.540000
2025-12-01,6.630000
