Date,INDIA_CPI
2020-01-01,126.235300
2020-02-01,125.470200
2020-03-01,124.705100
2020-04-01,125.852700
2020-05-01,126.235300
2020-06-01,127.000300
2020-07-01,128.530400
2020-08-01,129.295500
2020-09-01,130.117900
2020-10-01,131.660300
2020-11-01,132.101000
2020-12-01,130.889100
2021-01-01,130.228000
2021-02-01,131.109400
2021-03-01,131.770500
2021-04-01,132.321400
2021-05-01,132.872300
2021-06-01,134.084200
2021-07-01,135.296100
2021-08-01,135.516500
2021-09-01,135.847000
2021-10-01,137.609800
2021-11-01,138.491200
2021-12-01,138.160700
2022-01-01,137.830200
2022-02-01,137.720000
2022-03-01,138.821800
2022-04-01,140.694700
2022-05-01,142.127000
2022-06-01,142.347400
2022-07-01,143.118600
2022-08-01,143.449200
2022-09-01,144.661100
2022-10-01,145.983200
2022-11-01,145.983200
2022-12-01,145.762800
2023-01-01,146.313700
2023-02-01,146.203600
2023-03-01,146.864600
2023-04-01,147.856200
2023-05-01,148.407100
2023-06-01,150.280100
2023-07-01,153.915900
2023-08-01,153.365000
2023-09-01,151.492000
2023-10-01,152.483600
2023-11-01,153.254800
2023-12-01,152.924300
2024-01-01,153.034500
2024-02-01,153.365000
2024-03-01,153.034500
2024-04-01,153.585300
2024-05-01,154.136200
2024-06-01,155.788900
2024-07-01,157.221200
2024-08-01,157.111000
2024-09-01,157.882200
2024-10-01,159.204300
2024-11-01,159.204300
2024-12-01,158.322900
2025-01-01,157.772000
2025-02-01,157.331300
2025-03-01,157.551700
