Date,NIFTY50
2020-01-01,12182.500000
2020-01-02,12282.200195
2020-01-03,12226.650391
2020-01-06,11993.049805
2020-01-07,12052.950195
2020-01-08,12025.349609
2020-01-09,12215.900391
2020-01-10,12256.799805
2020-01-13,12329.549805
2020-01-14,12362.299805
2020-01-15,12343.299805
2020-01-16,12355.500000
2020-01-17,12352.349609
2020-01-20,12224.549805
2020-01-21,12169.849609
2020-01-22,12106.900391
2020-01-23,12180.349609
2020-01-24,12248.250000
2020-01-27,12119.000000
2020-01-28,12055.799805
2020-01-29,12129.500000
2020-01-30,12035.799805
2020-01-31,11962.099609
2020-02-03,11707.900391
2020-02-04,11979.650391
2020-02-05,12089.150391
2020-02-06,12137.950195
2020-02-07,12098.349609
2020-02-10,12031.500000
2020-02-11,12107.900391
2020-02-12,12201.200195
2020-02-13,12174.650391
2020-02-14,12113.450195
2020-02-17,12045.799805
2020-02-18,11992.500000
2020-02-19,12125.900391
2020-02-20,12080.849609
2020-02-24,11829.400391
2020-02-25,11797.900391
2020-02-26,11678.500000
2020-02-27,11633.299805
2020-02-28,11201.750000
2020-03-02,11132.750000
2020-03-03,11303.299805
2020-03-04,11251.000000
2020-03-05,11269.000000
2020-03-06,10989.450195
2020-03-09,10451.450195
2020-03-11,10458.400391
2020-03-12,9590.150391
2020-03-13,9955.200195
2020-03-16,9197.400391
2020-03-17,8967.049805
2020-03-18,8468.799805
2020-03-19,8263.450195
2020-03-20,8745.450195
2020-03-23,7610.250000
2020-03-24,7801.049805
2020-03-25,8317.849609
2020-03-26,8641.450195
2020-03-27,8660.250000
2020-03-30,8281.099609
2020-03-31,8597.750000
2020-04-01,8253.799805
2020-04-03,8083.799805
2020-04-07,8792.200195
2020-04-08,8748.750000
2020-04-09,9111.900391
2020-04-13,8993.849609
2020-04-15,8925.299805
2020-04-16,8992.799805
2020-04-17,9266.750000
2020-04-20,9261.849609
2020-04-21,8981.450195
2020-04-22,9187.299805
2020-04-23,9313.900391
2020-04-24,9154.400391
2020-04-27,9282.299805
2020-04-28,9380.900391
2020-04-29,9553.349609
2020-04-30,9859.900391
2020-05-04,9293.500000
2020-05-05,9205.599609
2020-05-06,9270.900391
2020-05-07,9199.049805
2020-05-08,9251.500000
2020-05-11,9239.200195
2020-05-12,9196.549805
2020-05-13,9383.549805
2020-05-14,9142.750000
2020-05-15,9136.849609
2020-05-18,8823.250000
2020-05-19,8879.099609
2020-05-20,9066.549805
2020-05-21,9106.250000
2020-05-22,9039.250000
2020-05-26,9029.049805
2020-05-27,9314.950195
2020-05-28,9490.099609
2020-05-29,9580.299805
2020-06-01,9826.150391
2020-06-02,9979.099609
2020-06-03,10061.549805
2020-06-04,10029.099609
2020-06-05,10142.150391
2020-06-08,10167.450195
2020-06-09,10046.650391
2020-06-10,10116.150391
2020-06-11,9902.000000
2020-06-12,9972.900391
2020-06-15,9813.700195
2020-06-16,9914.000000
2020-06-17,9881.150391
2020-06-18,10091.650391
2020-06-19,10244.400391
2020-06-22,10311.200195
2020-06-23,10471.000000
2020-06-24,10305.299805
2020-06-25,10288.900391
2020-06-26,10383.000000
2020-06-29,10312.400391
2020-06-30,10302.099609
2020-07-01,10430.049805
2020-07-02,10551.700195
2020-07-03,10607.349609
2020-07-06,10763.650391
2020-07-07,10799.650391
2020-07-08,10705.750000
2020-07-09,10813.450195
2020-07-10,10768.049805
2020-07-13,10802.700195
2020-07-14,10607.349609
2020-07-15,10618.200195
2020-07-16,10739.950195
2020-07-17,10901.700195
2020-07-20,11022.200195
2020-07-21,11162.250000
2020-07-22,11132.599609
2020-07-23,11215.450195
2020-07-24,11194.150391
2020-07-27,11131.799805
2020-07-28,11300.549805
2020-07-29,11202.849609
2020-07-30,11102.150391
2020-07-31,11073.450195
2020-08-03,10891.599609
2020-08-04,11095.250000
2020-08-05,11101.650391
2020-08-06,11200.150391
2020-08-07,11214.049805
2020-08-10,11270.150391
2020-08-11,11322.500000
2020-08-12,11308.400391
2020-08-13,11300.450195
2020-08-14,11178.400391
2020-08-17,11247.099609
2020-08-18,11385.349609
2020-08-19,11408.400391
2020-08-20,11312.200195
2020-08-21,11371.599609
2020-08-24,11466.450195
2020-08-25,11472.250000
2020-08-26,11549.599609
2020-08-27,11559.250000
2020-08-28,11647.599609
2020-08-31,11387.500000
2020-09-01,11470.250000
2020-09-02,11535.000000
2020-09-03,11527.450195
2020-09-04,11333.849609
2020-09-07,11355.049805
2020-09-08,11317.349609
2020-09-09,11278.000000
2020-09-10,11449.250000
2020-09-11,11464.450195
2020-09-14,11440.049805
2020-09-15,11521.799805
2020-09-16,11604.549805
2020-09-17,11516.099609
2020-09-18,11504.950195
2020-09-21,11250.549805
2020-09-22,11153.650391
2020-09-23,11131.849609
2020-09-24,10805.549805
2020-09-25,11050.250000
2020-09-28,11227.549805
2020-09-29,11222.400391
2020-09-30,11247.549805
2020-10-01,11416.950195
2020-10-05,11503.349609
2020-10-06,11662.400391
2020-10-07,11738.849609
2020-10-08,11834.599609
2020-10-09,11914.200195
2020-10-12,11930.950195
2020-10-13,11934.500000
2020-10-14,11971.049805
2020-10-15,11680.349609
2020-10-16,11762.450195
2020-10-19,11873.049805
2020-10-20,11896.799805
2020-10-21,11937.650391
2020-10-22,11896.450195
2020-10-23,11930.349609
2020-10-26,11767.750000
2020-10-27,11889.400391
2020-10-28,11729.599609
2020-10-29,11670.799805
2020-10-30,11642.400391
2020-11-02,11669.150391
2020-11-03,11813.500000
2020-11-04,11908.500000
2020-11-05,12120.299805
2020-11-06,12263.549805
2020-11-09,12461.049805
2020-11-10,12631.099609
2020-11-11,12749.150391
2020-11-12,12690.799805
2020-11-13,12719.950195
2020-11-17,12874.200195
2020-11-18,12938.250000
2020-11-19,12771.700195
2020-11-20,12859.049805
2020-11-23,12926.450195
2020-11-24,13055.150391
2020-11-25,12858.400391
2020-11-26,12987.000000
2020-11-27,12968.950195
2020-12-01,13109.049805
2020-12-02,13113.750000
2020-12-03,13133.900391
2020-12-04,13258.549805
2020-12-07,13355.750000
2020-12-08,13392.950195
2020-12-09,13529.099609
2020-12-10,13478.299805
2020-12-11,13513.849609
2020-12-14,13558.150391
2020-12-15,13567.849609
2020-12-16,13682.700195
2020-12-17,13740.700195
2020-12-18,13760.549805
2020-12-21,13328.400391
2020-12-22,13466.299805
2020-12-23,13601.099609
2020-12-24,13749.250000
2020-12-28,13873.200195
2020-12-29,13932.599609
2020-12-30,13981.950195
2020-12-31,13981.750000
2021-01-01,14018.500000
2021-01-04,14132.900391
2021-01-05,14199.500000
2021-01-06,14146.250000
2021-01-07,14137.349609
2021-01-08,14347.250000
2021-01-11,14484.750000
2021-01-12,14563.450195
2021-01-13,14564.849609
2021-01-14,14595.599609
2021-01-15,14433.700195
2021-01-18,14281.299805
2021-01-19,14521.150391
2021-01-20,14644.700195
2021-01-21,14590.349609
2021-01-22,14371.900391
2021-01-25,14238.900391
2021-01-27,13967.500000
2021-01-28,13817.549805
2021-01-29,13634.599609
2021-02-01,14281.200195
2021-02-02,14647.849609
2021-02-03,14789.950195
2021-02-04,14895.650391
2021-02-05,14924.250000
2021-02-08,15115.799805
2021-02-09,15109.299805
2021-02-10,15106.500000
2021-02-11,15173.299805
2021-02-12,15163.299805
2021-02-15,15314.700195
2021-02-16,15313.450195
2021-02-17,15208.900391
2021-02-18,15118.950195
2021-02-19,14981.750000
2021-02-22,14675.700195
2021-02-23,14707.799805
2021-02-24,14982.000000
2021-02-25,15097.349609
2021-02-26,14529.150391
2021-03-01,14761.549805
2021-03-02,14919.099609
2021-03-03,15245.599609
2021-03-04,15080.750000
2021-03-05,14938.099609
2021-03-08,14956.200195
2021-03-09,15098.400391
2021-03-10,15174.799805
2021-03-12,15030.950195
2021-03-15,14929.500000
2021-03-16,14910.450195
2021-03-17,14721.299805
2021-03-18,14557.849609
2021-03-19,14744.000000
2021-03-22,14736.400391
2021-03-23,14814.750000
2021-03-24,14549.400391
2021-03-25,14324.900391
2021-03-26,14507.299805
2021-03-30,14845.099609
2021-03-31,14690.700195
2021-04-01,14867.349609
2021-04-05,14637.799805
2021-04-06,14683.500000
2021-04-07,14819.049805
2021-04-08,14873.799805
2021-04-09,14834.849609
2021-04-12,14310.799805
2021-04-13,14504.799805
2021-04-15,14581.450195
2021-04-16,14617.849609
2021-04-19,14359.450195
2021-04-20,14296.400391
2021-04-22,14406.150391
2021-04-23,14341.349609
2021-04-26,14485.000000
2021-04-27,14653.049805
2021-04-28,14864.549805
2021-04-29,14894.900391
2021-04-30,14631.099609
2021-05-03,14634.150391
2021-05-04,14496.500000
2021-05-05,14617.849609
2021-05-06,14724.799805
2021-05-07,14823.150391
2021-05-10,14942.349609
2021-05-11,14850.750000
2021-05-12,14696.500000
2021-05-14,14677.799805
2021-05-17,14923.150391
2021-05-18,15108.099609
2021-05-19,15030.150391
2021-05-20,14906.049805
2021-05-21,15175.299805
2021-05-24,15197.700195
2021-05-25,15208.450195
2021-05-26,15301.450195
2021-05-27,15337.849609
2021-05-28,15435.650391
2021-05-31,15582.799805
2021-06-01,15574.849609
2021-06-02,15576.200195
2021-06-03,15690.349609
2021-06-04,15670.250000
2021-06-07,15751.650391
2021-06-08,15740.099609
2021-06-09,15635.349609
2021-06-10,15737.750000
2021-06-11,15799.349609
2021-06-14,15811.849609
2021-06-15,15869.250000
2021-06-16,15767.549805
2021-06-17,15691.400391
2021-06-18,15683.349609
2021-06-21,15746.500000
2021-06-22,15772.750000
2021-06-23,15686.950195
2021-06-24,15790.450195
2021-06-25,15860.349609
2021-06-28,15814.700195
2021-06-29,15748.450195
2021-06-30,15721.500000
2021-07-01,15680.000000
2021-07-02,15722.200195
2021-07-05,15834.349609
2021-07-06,15818.250000
2021-07-07,15879.650391
2021-07-08,15727.900391
2021-07-09,15689.799805
2021-07-12,15692.599609
2021-07-13,15812.349609
2021-07-14,15853.950195
2021-07-15,15924.200195
2021-07-16,15923.400391
2021-07-19,15752.400391
2021-07-20,15632.099609
2021-07-22,15824.049805
2021-07-23,15856.049805
2021-07-26,15824.450195
2021-07-27,15746.450195
2021-07-28,15709.400391
2021-07-29,15778.450195
2021-07-30,15763.049805
2021-08-02,15885.150391
2021-08-03,16130.750000
2021-08-04,16258.799805
2021-08-05,16294.599609
2021-08-06,16238.200195
2021-08-09,16258.250000
2021-08-10,16280.099609
2021-08-11,16282.250000
2021-08-12,16364.400391
2021-08-13,16529.099609
2021-08-16,16563.050781
2021-08-17,16614.599609
2021-08-18,16568.849609
2021-08-20,16450.500000
2021-08-23,16496.449219
2021-08-24,16624.599609
2021-08-25,16634.650391
2021-08-26,16636.900391
2021-08-27,16705.199219
2021-08-30,16931.050781
2021-08-31,17132.199219
2021-09-01,17076.250000
2021-09-02,17234.150391
2021-09-03,17323.599609
2021-09-06,17377.800781
2021-09-07,17362.099609
2021-09-08,17353.500000
2021-09-09,17369.250000
2021-09-13,17355.300781
2021-09-14,17380.000000
2021-09-15,17519.449219
2021-09-16,17629.500000
2021-09-17,17585.150391
2021-09-20,17396.900391
2021-09-21,17562.000000
2021-09-22,17546.650391
2021-09-23,17822.949219
2021-09-24,17853.199219
2021-09-27,17855.099609
2021-09-28,17748.599609
2021-09-29,17711.300781
2021-09-30,17618.150391
2021-10-01,17532.050781
2021-10-04,17691.250000
2021-10-05,17822.300781
2021-10-06,17646.000000
2021-10-07,17790.349609
2021-10-08,17895.199219
2021-10-11,17945.949219
2021-10-12,17991.949219
2021-10-13,18161.750000
2021-10-14,18338.550781
2021-10-18,18477.050781
2021-10-19,18418.750000
2021-10-20,18266.599609
2021-10-21,18178.099609
2021-10-22,18114.900391
2021-10-25,18125.400391
2021-10-26,18268.400391
2021-10-27,18210.949219
2021-10-28,17857.250000
2021-10-29,17671.650391
2021-11-01,17929.650391
2021-11-02,17888.949219
2021-11-03,17829.199219
2021-11-04,17916.800781
2021-11-08,18068.550781
2021-11-09,18044.250000
2021-11-10,18017.199219
2021-11-11,17873.599609
2021-11-12,18102.750000
2021-11-15,18109.449219
2021-11-16,17999.199219
2021-11-17,17898.650391
2021-11-18,17764.800781
2021-11-22,17416.550781
2021-11-23,17503.349609
2021-11-24,17415.050781
2021-11-25,17536.250000
2021-11-26,17026.449219
2021-11-29,17053.949219
2021-11-30,16983.199219
2021-12-01,17166.900391
2021-12-02,17401.650391
2021-12-03,17196.699219
2021-12-06,16912.250000
2021-12-07,17176.699219
2021-12-08,17469.750000
2021-12-09,17516.849609
2021-12-10,17511.300781
2021-12-13,17368.250000
2021-12-14,17324.900391
2021-12-15,17221.400391
2021-12-16,17248.400391
2021-12-17,16985.199219
2021-12-20,16614.199219
2021-12-21,16770.849609
2021-12-22,16955.449219
2021-12-23,17072.599609
2021-12-24,17003.750000
2021-12-27,17086.250000
2021-12-28,17233.250000
2021-12-29,17213.599609
2021-12-30,17203.949219
2021-12-31,17354.050781
2022-01-03,17625.699219
2022-01-04,17805.250000
2022-01-05,17925.250000
2022-01-06,17745.900391
2022-01-07,17812.699219
2022-01-10,18003.300781
2022-01-11,18055.750000
2022-01-12,18212.349609
2022-01-13,18257.800781
2022-01-14,18255.750000
2022-01-17,18308.099609
2022-01-18,18113.050781
2022-01-19,17938.400391
2022-01-20,17757.000000
2022-01-21,17617.150391
2022-01-24,17149.099609
2022-01-25,17277.949219
2022-01-27,17110.150391
2022-01-28,17101.949219
2022-01-31,17339.849609
2022-02-01,17576.849609
2022-02-02,17780.000000
2022-02-03,17560.199219
2022-02-04,17516.300781
2022-02-07,17213.599609
2022-02-08,17266.750000
2022-02-09,17463.800781
2022-02-10,17605.849609
2022-02-11,17374.750000
2022-02-14,16842.800781
2022-02-15,17352.449219
2022-02-16,17322.199219
2022-02-17,17304.599609
2022-02-18,17276.300781
2022-02-21,17206.650391
2022-02-22,17092.199219
2022-02-23,17063.250000
2022-02-24,16247.950195
2022-02-25,16658.400391
2022-02-28,16793.900391
2022-03-02,16605.949219
2022-03-03,16498.050781
2022-03-04,16245.349609
2022-03-07,15863.150391
2022-03-08,16013.450195
2022-03-09,16345.349609
2022-03-10,16594.900391
2022-03-11,16630.449219
2022-03-14,16871.300781
2022-03-15,16663.000000
2022-03-16,16975.349609
2022-03-17,17287.050781
2022-03-21,17117.599609
2022-03-22,17315.500000
2022-03-23,17245.650391
2022-03-24,17222.750000
2022-03-25,17153.000000
2022-03-28,17222.000000
2022-03-29,17325.300781
2022-03-30,17498.250000
2022-03-31,17464.750000
2022-04-01,17670.449219
2022-04-04,18053.400391
2022-04-05,17957.400391
2022-04-06,17807.650391
2022-04-07,17639.550781
2022-04-08,17784.349609
2022-04-11,17674.949219
2022-04-12,17530.300781
2022-04-13,17475.650391
2022-04-18,17173.650391
2022-04-19,16958.650391
2022-04-20,17136.550781
2022-04-21,17392.599609
2022-04-22,17171.949219
2022-04-25,16953.949219
