date,headline,url
2023-11-23,"Mumbai : Someone stealing our customers with false claims , says Airtel",https://www.mid-day.com/mumbai/mumbai-news/article/mumbai-someones-stealing-our-customers-with-false-claims-airtel-23321307
2023-11-28,"Bharti Airtels : Bharti Airtel selling and distribution costs to be four times than Jio this fiscal , ET Telecom",https://telecom.economictimes.indiatimes.com/news/industry/bharti-airtels-selling-and-distribution-costs-to-be-four-times-than-jios-this-fiscal/105558731
2023-12-02,Bharti Telecom Purchases 1 35 Stake In Bharti Airtel For Rs 8 301 Crore - BW Businessworld,https://www.businessworld.in/article/Bharti-Telecom-Purchases-1-35-Stake-In-Bharti-Airtel-For-Rs-8-301-Crore/02-12-2023-500781/
2023-11-20,"Bharti Airtel trades lower , receives DoT penalty for subscriber verification norms violation",https://www.moneycontrol.com/news/business/stocks/bharti-airtel-trades-lower-receives-dot-penalty-for-subscriber-verification-norms-violation-11769551.html
2023-11-29,"Bharti Airtel shares cross Rs 1 , 000 - mark to hit a record high",https://www.moneycontrol.com/news/business/markets/bharti-airtel-shares-cross-rs-1000-mark-to-hit-a-record-high-11826091.html
2023-11-01,Bharti Airtel down 1 % despite robust India mobile growth in Q2FY24 ; brokerages  buy  rating,https://www.moneycontrol.com/news/business/stocks/bharti-airtel-q2-earnings-impress-with-robust-india-mobile-growth-brokerages-say-buy-11637971.html
2023-11-18,Bharti Airtel committee approves allotment of 14 . 16 lakh equity shares to certain FCCBs holders,https://www.moneycontrol.com/news/business/bharti-airtel-committee-approves-allotment-of-14-16-lakh-equity-shares-to-certain-fccbs-holders-11763331.html
2023-12-01,"Bharti Airtel trades in green with 1 . 4 % stake changing hands in Rs 8 , 286 - cr block deal",https://www.moneycontrol.com/news/business/markets/bharti-airtel-trades-in-green-with-1-4-stake-changing-hands-in-rs-8286-cr-block-deal-11838281.html
2023-10-19,Airtel and Ericsson successfully test RedCap software on Airtel 5G network,https://economictimes.indiatimes.com/industry/telecom/telecom-news/airtel-and-ericsson-successfully-test-redcap-software-on-airtels-5g-network/articleshow/104553476.cms
2023-11-26,"Mcap of four of top 10 most - valued firms rise Rs 65 , 671 crore ; Reliance biggest winner",https://indianexpress.com/article/business/mcap-most-valued-firms-rise-reliance-biggest-winner-9042883/
