date,headline,url
2021-10-25,Competition Commission Okays HDFC Bank Stake Buy In HDFC ERGO,https://www.ndtv.com/business/competition-commission-okays-hdfc-banks-stake-buy-in-hdfc-ergo-2587630
2021-11-02,hdfc bank : BSE signs MoU with HDFC Bank to promote listing of SMEs,https://economictimes.indiatimes.com/small-biz/sme-sector/bse-signs-mou-with-hdfc-bank-to-promote-listing-smes/articleshow/87486258.cms
2021-10-08,"Amazon Great Indian Festival 2021 Sale : HDFC Bank Resets Discounts on Debit , Credit Cards",https://www.digit.in/news/general/amazon-great-indian-festival-2021-sale-hdfc-bank-resets-discounts-on-debit-credit-cards-61388.html
2021-10-15,"HDFC Bank Q2 FY22 Preview : HDFC Bank Retail Credit Growth Accelerates , Asset Quality May Improve : What To Expect",https://www.ndtv.com/business/hdfc-bank-q2-fy22-preview-hdfc-banks-retail-credit-growth-accelerates-asset-quality-may-improve-what-to-expect-2576724
2021-10-19,HDFC fraud employees arrested for trying to withdraw money from NRI account,https://www.indiatvnews.com/business/news-hdfc-atm-fraud-employees-arrested-for-trying-to-withdraw-money-from-nri-account-741199
2021-10-16,"HDFC Bank Q2 FY22 Results : HDFC Bank Net Profit Rises 17 . 5 % To Rs 8 , 834 Crore In July - September Quarter",https://www.ndtv.com/business/hdfc-bank-q2-fy22-results-hdfc-bank-net-profit-rises-17-5-to-rs-8-834-crore-in-july-september-quarter-2577477
2021-10-18,HDFC Bank Shares Touch 52 - Week High On Jump In Net Profit net profit in the July - September quarter,https://www.ndtv.com/business/hdfc-bank-shares-touch-52-week-high-on-jump-in-net-profit-net-profit-in-the-july-september-quarter-2578998
2021-10-11,HDFC Bank Share Price : Live NSE / BSE Stock Price Today,https://www.business-standard.com/company/hdfc-bank-4987.html
2021-12-02,HDFC Bank hikes interest rate on fixed deposits . Check latest FD rates here,https://www.indiatoday.in/business/story/hdfc-bank-hikes-interest-rate-on-fixed-deposits-check-latest-fd-rates-here-1883321-2021-12-02
2021-11-24,HDFC Bank to tap into Equitas SFB customer base with co - branded credit card,https://www.msn.com/en-in/money/news/hdfc-bank-to-tap-into-equitas-sfbs-customer-base-with-co-branded-credit-card/ar-AAR3eeA
2021-11-23,HDFC Bank to tap into Equitas SFB customer base with co - branded credit card,https://www.msn.com/en-in/money/news/hdfc-bank-to-tap-into-equitas-sfb-s-customer-base-with-co-branded-credit-card/ar-AAR3eeA
