date,headline,url
2020-10-21,Hindustan Unilever share Price News : Hindustan Unilever Falls After September Quarter Earnings,https://www.ndtv.com/business/hindustan-unilever-share-price-news-hindustan-unilever-falls-after-september-quarter-earnings-2313448
2020-10-16,Why HUL remains Jefferie top pick in Indian staples space,https://economictimes.indiatimes.com/markets/stocks/news/why-hul-remains-jefferies-top-pick-in-indian-staples-space/articleshow/78698272.cms
2020-10-07,Hindustan Unilever Ltd jumps around 1 % ,https://www.business-standard.com/article/news-cm/hindustan-unilever-ltd-jumps-around-1-120100700542_1.html
2020-12-13,M - cap of eight of top - 10 most valuable firms zoom Rs 1 . 53 lakh crore,https://economictimes.indiatimes.com/markets/stocks/news/m-cap-of-eight-of-top-10-most-valuable-firms-zoom-rs-1-53-lakh-crore/articleshow/79704453.cms
2020-12-13,Market Capitalisation of Eight of Top - 10 Most Valuable Firms Zoom Rs 1 . 53 Lakh Crore,https://www.news18.com/news/business/market-capitalisation-of-eight-of-top-10-most-valuable-firms-zoom-rs-1-53-lakh-crore-3173363.html
2020-12-13,Market capitalisation of eight of top 10 most valuable firms zoom Rs 1 . 53 lakh crore,https://www.hindustantimes.com/business-news/market-capitalisation-of-eight-of-top-10-most-valuable-firms-zoom-rs-1-53-lakh-crore/story-gRHSJANvNOVCwJzaewXtxJ.html
2020-12-13,"HUL , Reliance lead top 8 most valued firms to add Rs 1 . 53 lakh cr in m - cap",https://www.financialexpress.com/market/hul-reliable-lead-top-8-most-valued-firms-to-add-rs-1-53-lakh-cr-in-m-cap/2148887/
2020-12-13,"8 of 10 most valued firms add Rs 1 . 53 lakh crore in m - cap ; RIL , TCS biggest gainers",https://www.businesstoday.in/current/corporate/8-of-10-most-valued-firms-add-rs-153-lakh-crore-in-m-cap-ril-tcs-biggest-gainers/story/424768.html
2020-12-13,M - cap of eight of top - 10 most valuable firms zoom Rs 1 . 53 lakh cr,https://www.indiatvnews.com/business/markets-m-cap-of-eight-of-top-10-most-valuable-firms-zoom-rs-1-53-lakh-cr-671067
2020-11-25,Are You Holding Copycat Equity Schemes ? ,https://www.moneylife.in/article/are-you-holding-copycat-equity-schemes/62183.html
2020-12-10,"Hindustan Unilever Ltd spurts 1 . 79 %, up for fifth straight session",https://www.business-standard.com/article/news-cm/hindustan-unilever-ltd-spurts-1-79-up-for-fifth-straight-session-120121000535_1.html
2020-11-23,Hindustan Unilever Ltd drops for fifth straight session,https://www.business-standard.com/article/news-cm/hindustan-unilever-ltd-drops-for-fifth-straight-session-120112300541_1.html
