,RELIANCE,HDFCBANK,INFY,MM,BHARTIARTL,HUL,mean
INDIA_CPI_lag1,0.13190739,0.1518373,0.1428255,0.13815686,0.0,0.15469414,0.119903535
INR_USD_lag1,0.107732974,0.15234222,0.122102484,0.114005044,0.1164896,0.09540202,0.118012376
USDINR_lag1,0.12668401,0.106137134,0.10546333,0.09568766,0.14368692,0.098912515,0.11276192
NIFTY50_lag1,0.089064404,0.1302652,0.09401239,0.107565634,0.0,0.0,0.07015128
macd,0.0,0.09081282,0.08509175,0.0,0.096971676,0.10695075,0.063304506
Revenue,0.0,0.0436021,0.09658704,0.079663806,0.07849266,0.0736097,0.061992556
log_ret_21d,0.0,0.08967314,0.097432844,0.087061435,0.0,0.08601083,0.060029704
mom_21d,0.07992836,0.07679473,0.096499056,0.09239083,0.0,0.0,0.057602163
EPS,0.065058544,0.07285447,0.059616473,0.0,0.06370663,0.077838674,0.056512464
EBITDA_Margin,0.0,0.0,0.10036915,0.09370828,0.0,0.10618651,0.05004399
macd_hist,0.114773415,0.0,0.0,0.0,0.0,0.09919814,0.035661925
rsi_14,0.0,0.0,0.0,0.09350473,0.10475407,0.0,0.03304313
macd_signal,0.0,0.0856809,0.0,0.0,0.0,0.10119669,0.031146266
atr_norm,0.07624089,0.0,0.0,0.0982558,0.0,0.0,0.02908278
log_ret_1d,0.0,0.0,0.0,0.0,0.12086815,0.0,0.020144692
hi_ratio,0.0,0.0,0.0,0.0,0.11074751,0.0,0.018457917
vol_21d,0.11049491,0.0,0.0,0.0,0.0,0.0,0.018415818
VIX_INDIA_lag1,0.09811506,0.0,0.0,0.0,0.0,0.0,0.01635251
lo_ratio,0.0,0.0,0.0,0.0,0.084147215,0.0,0.014024536
BHARTIARTL_sentiment,0.0,0.0,0.0,0.0,0.08013561,0.0,0.013355936
