,HCLTECH,HDFCBANK,HINDALCO,HINDUNILVR,ICICIBANK,INFY,ITC,JINDALSTEL,KOTAKBANK,NESTLEIND,TATASTEEL,TCS
HCLTECH,1.0,0.3293348640583934,0.42384956333121193,0.3313472121369947,0.3184455746997452,0.6884343576810015,0.2249845524034113,0.3971533394412842,0.29227547001456433,0.33878399096789563,0.35426560216447744,0.6491941571631208
HDFCBANK,0.3293348640583934,1.0,0.4247160697662959,0.26638667472519734,0.6685022258017761,0.3984068457678057,0.3081605764536276,0.4167227633441473,0.6463497094617858,0.27594759569440497,0.38161257154302114,0.3555143353108349
HINDALCO,0.42384956333121193,0.4247160697662959,1.0,0.23328796158988094,0.4985314880282601,0.39518854278248666,0.33672336643333917,0.7095153877528112,0.3576088353550503,0.27422553173486613,0.7528903834925368,0.394547335924119
HINDUNILVR,0.3313472121369947,0.26638667472519734,0.23328796158988094,1.0,0.28658019013135166,0.3546814067977985,0.27823324276096817,0.22540725346635027,0.30936044605217183,0.6083019705006724,0.18388539352197256,0.34100269886687734
ICICIBANK,0.3184455746997452,0.6685022258017761,0.4985314880282601,0.28658019013135166,1.0,0.4005687537720256,0.3431621422590518,0.4782568503223233,0.608150476936745,0.27393965280829813,0.45762115718781626,0.3565192147636788
INFY,0.6884343576810015,0.3984068457678057,0.39518854278248666,0.3546814067977985,0.4005687537720256,1.0,0.25369206352732054,0.36516772468736197,0.34975078155841577,0.3142411886491738,0.33869511873582286,0.7108761085459916
ITC,0.2249845524034113,0.3081605764536276,0.33672336643333917,0.27823324276096817,0.3431621422590518,0.25369206352732054,1.0,0.30716003250122004,0.3150967661766755,0.20735890212635508,0.3528995626078324,0.25245979805029656
JINDALSTEL,0.3971533394412842,0.4167227633441473,0.7095153877528112,0.22540725346635027,0.4782568503223233,0.36516772468736197,0.30716003250122004,1.0,0.36185892495392546,0.2564379136371952,0.7736408445828663,0.37861892182222706
KOTAKBANK,0.29227547001456433,0.6463497094617858,0.3576088353550503,0.30936044605217183,0.608150476936745,0.34975078155841577,0.3150967661766755,0.36185892495392546,1.0,0.32047795732658185,0.3209210262572239,0.31666741162179135
NESTLEIND,0.33878399096789563,0.27594759569440497,0.27422553173486613,0.6083019705006724,0.27393965280829813,0.3142411886491738,0.20735890212635508,0.2564379136371952,0.32047795732658185,1.0,0.19472345371294358,0.2941508432639579
TATASTEEL,0.35426560216447744,0.38161257154302114,0.7528903834925368,0.18388539352197256,0.45762115718781626,0.33869511873582286,0.3528995626078324,0.7736408445828663,0.3209210262572239,0.19472345371294358,1.0,0.35984889876328024
TCS,0.6491941571631208,0.3555143353108349,0.394547335924119,0.34100269886687734,0.3565192147636788,0.7108761085459916,0.25245979805029656,0.37861892182222706,0.31666741162179135,0.2941508432639579,0.35984889876328024,1.0
