,ITC,HINDUNILVR,NESTLEIND,HCLTECH,INFY,TCS,HINDALCO,JINDALSTEL,TATASTEEL,KOTAKBANK,HDFCBANK,ICICIBANK
ITC,0.00029641174461521763,7.45421272877729e-05,5.213303536217459e-05,7.060447282596294e-05,7.970862791971888e-05,6.909439360298208e-05,0.00015847264626387477,0.00016665115387354184,0.0001505457198235022,0.00010492842666669978,9.477594880710695e-05,0.00012628205223981056
HINDUNILVR,7.45421272877729e-05,0.00024215314990407166,0.00013823146406301414,9.398535647449657e-05,0.00010072429406977284,8.435401392073246e-05,9.923634067394908e-05,0.0001105373032421489,7.090255469449202e-05,9.311322262255692e-05,7.405099821280106e-05,9.532038434401057e-05
NESTLEIND,5.213303536217459e-05,0.00013823146406301414,0.00021324813732096694,9.017731781589879e-05,8.374453600425013e-05,6.828347213224832e-05,0.00010946716280655317,0.00011801053368380435,7.04580266804701e-05,9.051953163212015e-05,7.198509744546264e-05,8.550511219624302e-05
HCLTECH,7.060447282596294e-05,9.398535647449657e-05,9.017731781589879e-05,0.0003322489533265615,0.00022900506918413954,0.0001881088760877624,0.0002111917274014529,0.00022813186229767458,0.00016000383259257722,0.00010304470717814507,0.00010723656110013397,0.0001240685154826785
INFY,7.970862791971888e-05,0.00010072429406977284,8.374453600425013e-05,0.00022900506918413954,0.0003330439104412824,0.00020622795845186948,0.00019714621584481743,0.0002100095529520904,0.00015315432830874788,0.00012345564515915355,0.0001298825779568485,0.00015625084507263473
TCS,6.909439360298208e-05,8.435401392073246e-05,6.828347213224832e-05,0.0001881088760877624,0.00020622795845186948,0.00025270029611576924,0.00017144915235959784,0.00018967107524175711,0.0001417400697331205,9.736609643441044e-05,0.00010095628291760625,0.00012113799291058951
HINDALCO,0.00015847264626387477,9.923634067394908e-05,0.00010946716280655317,0.0002111917274014529,0.00019714621584481743,0.00017144915235959784,0.0007472513412989833,0.0006112108945630532,0.0005099583301544774,0.0001890789156592946,0.0002073984012939654,0.0002912865976763522
JINDALSTEL,0.00016665115387354184,0.0001105373032421489,0.00011801053368380435,0.00022813186229767458,0.0002100095529520904,0.00018967107524175711,0.0006112108945630532,0.0009930973722492523,0.0006040945191413178,0.00022056505985436134,0.0002345937836905843,0.0003221452059671142
TATASTEEL,0.0001505457198235022,7.090255469449202e-05,7.04580266804701e-05,0.00016000383259257722,0.00015315432830874788,0.0001417400697331205,0.0005099583301544774,0.0006040945191413178,0.0006139587276760507,0.00015380458144384455,0.0001689139902146077,0.0002423651882087516
KOTAKBANK,0.00010492842666669978,9.311322262255692e-05,9.051953163212015e-05,0.00010304470717814507,0.00012345564515915355,9.736609643441044e-05,0.0001890789156592946,0.00022056505985436134,0.00015380458144384455,0.00037411319171275675,0.00022332761517614453,0.0002514242248124454
HDFCBANK,9.477594880710695e-05,7.405099821280106e-05,7.198509744546264e-05,0.00010723656110013397,0.0001298825779568485,0.00010095628291760625,0.0002073984012939654,0.0002345937836905843,0.0001689139902146077,0.00022332761517614453,0.0003191146324648444,0.0002552529522582369
ICICIBANK,0.00012628205223981056,9.532038434401057e-05,8.550511219624302e-05,0.0001240685154826785,0.00015625084507263473,0.00012113799291058951,0.0002912865976763522,0.0003221452059671142,0.0002423651882087516,0.0002514242248124454,0.0002552529522582369,0.0004568662892514048
