,HCLTECH,HDFCBANK,HINDALCO,HINDUNILVR,ICICIBANK,INFY,ITC,JINDALSTEL,KOTAKBANK,NESTLEIND,TATASTEEL,TCS
HCLTECH,0.0,0.5790790688419012,0.5367263905700874,0.5782096453117179,0.5837612634032232,0.39469332545597885,0.6225011837726049,0.5490203368540713,0.5948632321741846,0.5749852211283801,0.5682140432247,0.4188113195920564
HDFCBANK,0.5790790688419012,0.0,0.536322631553855,0.6056456576558618,0.40712269293065934,0.5484492475298851,0.5881493957942882,0.5400357565272196,0.42050582073154125,0.6016861325914015,0.5560518988624078,0.5676643659281271
HINDALCO,0.5367263905700874,0.536322631553855,0.0,0.6191575075899989,0.5007337176442884,0.5499142920571866,0.5758804709167784,0.38110668601271536,0.5667411951874285,0.6024012235483648,0.3515036390334126,0.5502057179255233
HINDUNILVR,0.5782096453117179,0.6056456576558618,0.6191575075899989,0.0,0.5972519610133769,0.5680310701018921,0.6007356978068774,0.6223314014790069,0.5876391554124981,0.44254831911291204,0.6387936311822573,0.5740197301195852
ICICIBANK,0.5837612634032232,0.40712269293065934,0.5007337176442884,0.5972519610133769,0.0,0.5474628965637646,0.5730784665911589,0.5107558857603487,0.4426338910788774,0.6025198532794176,0.5207585058413274,0.5672216432913686
INFY,0.39469332545597885,0.5484492475298851,0.5499142920571866,0.5680310701018921,0.5474628965637646,0.0,0.6108632975030827,0.5633969627680993,0.5701969915921972,0.5855590539607539,0.5750238609241259,0.3802130267718404
ITC,0.6225011837726049,0.5881493957942882,0.5758804709167784,0.6007356978068774,0.5730784665911589,0.6108632975030827,0.0,0.5885745354238408,0.5851936576140092,0.6295399502309782,0.5688147490141969,0.6113674026106166
JINDALSTEL,0.5490203368540713,0.5400357565272196,0.38110668601271536,0.6223314014790069,0.5107558857603487,0.5633969627680993,0.5885745354238408,0.0,0.5648632910032633,0.6097385039354185,0.33642172597584546,0.5573962137374872
KOTAKBANK,0.5948632321741846,0.42050582073154125,0.5667411951874285,0.5876391554124981,0.4426338910788774,0.5701969915921972,0.5851936576140092,0.5648632910032633,0.0,0.5828902309497982,0.5827001689302895,0.5845222786080136
NESTLEIND,0.5749852211283801,0.6016861325914015,0.6024012235483648,0.44254831911291204,0.6025198532794176,0.5855590539607539,0.6295399502309782,0.6097385039354185,0.5828902309497982,0.0,0.6345378421682415,0.5940745562368591
TATASTEEL,0.5682140432247,0.5560518988624078,0.3515036390334126,0.6387936311822573,0.5207585058413274,0.5750238609241259,0.5688147490141969,0.33642172597584546,0.5827001689302895,0.6345378421682415,0.0,0.5657521989514136
TCS,0.4188113195920564,0.5676643659281271,0.5502057179255233,0.5740197301195852,0.5672216432913686,0.3802130267718404,0.6113674026106166,0.5573962137374872,0.5845222786080136,0.5940745562368591,0.5657521989514136,0.0
