ticker,sector,market_cap
A,Healthcare,32662323200
AAL,Industrials,7157701632
AAP,Consumer Cyclical,3114983168
AAPL,Technology,3761492983808
ABBV,Healthcare,369388322816
ABT,Healthcare,178755452928
ACGL,Financial Services,34465832960
ACN,Technology,123905556480
ADBE,Technology,99023159296
ADI,Technology,155414904832
ADM,Consumer Defensive,35578314752
ADP,Technology,82511585280
ADSK,Technology,50472960000
AEE,Utilities,30871089152
AEP,Utilities,72119992320
AES,Utilities,10196924416
AFL,Financial Services,57904107520
AIG,Financial Services,40694824960
AIV,Real Estate,583505920
AIZ,Financial Services,10930703360
AJG,Financial Services,55947530240
AKAM,Technology,17096797184
ALB,Basic Materials,20994476032
ALGN,Healthcare,12240550912
ALK,Industrials,4279565568
ALL,Financial Services,53731704832
ALLE,Industrials,12151682048
AMAT,Technology,276549238784
AMCR,Consumer Cyclical,18449483776
AMD,Technology,354614378496
AME,Industrials,50002690048
AMG,Financial Services,7468506624
AMGN,Healthcare,187563196416
AMP,Financial Services,40315506688
AMT,Real Estate,81331109888
AMZN,Consumer Cyclical,2251864408064
AN,Consumer Cyclical,6861578752
ANET,Technology,159526240256
ANF,Consumer Cyclical,4230359552
AON,Financial Services,69454184448
AOS,Industrials,8898956288
APA,Energy,14850693120
APD,Basic Materials,65360666624
APH,Technology,157339516928
APO,Financial Services,62128435200
APTV,Consumer Cyclical,15317399552
ARE,Real Estate,7491774976
ARES,Financial Services,33896073216
ATGE,Consumer Defensive,3579815168
ATO,Utilities,31262996480
AVB,Real Estate,23507593216
AVGO,Technology,1491367493632
AVY,Consumer Cyclical,13188963328
AWK,Utilities,26975993856
AXON,Industrials,33188962304
AXP,Financial Services,206107787264
AYI,Industrials,8084475392
AZO,Consumer Cyclical,56339542016
BA,Industrials,163628466176
BAC,Financial Services,354384576512
BALL,Consumer Cyclical,15961198592
BAX,Healthcare,8611092480
BBY,Consumer Cyclical,13515014144
BDX,Healthcare,55978213376
BEN,Financial Services,12200542208
BF-B,Consumer Defensive,12270321664
BG,Consumer Defensive,25043945472
BHF,Financial Services,3418465536
BIIB,Healthcare,26026156032
BK,Financial Services,85167243264
BKNG,Consumer Cyclical,135198621696
BKR,Energy,59882311680
BLDR,Industrials,8751073280
BLK,Financial Services,150340222976
BMY,Healthcare,121687425024
BR,Technology,18788368384
BRK-B,Financial Services,1029582356480
BRO,Financial Services,22450700288
BSX,Healthcare,93361520640
BWA,Consumer Cyclical,10938386432
