,HCLTECH,HDFCBANK,HINDALCO,HINDUNILVR,ICICIBANK,INFY,ITC,JINDALSTEL,KOTAKBANK,NESTLEIND,TATASTEEL,TCS
HCLTECH,1.0,0.23434703885267444,0.2901358621446564,0.21087967337997424,0.17344949129056836,0.6582128209982475,0.17897712206319846,0.23483788431853073,0.19835659446202508,0.19972661756321985,0.26369530239838634,0.6500954290571144
HDFCBANK,0.23434703885267444,1.0,0.28214484884915736,0.18696013144448417,0.5048584770020657,0.2606586099090913,0.19749871618841355,0.28150938033875,0.48686148420834197,0.15864638733674485,0.3044046509949456,0.23061943759216869
HINDALCO,0.2901358621446564,0.28214484884915736,1.0,0.07506654617277456,0.2966136357295375,0.26814307534583026,0.22921040589718286,0.6529427365410131,0.21782962048144142,0.12608565748902317,0.7225322752874686,0.2376958170952098
HINDUNILVR,0.21087967337997424,0.18696013144448417,0.07506654617277456,1.0,0.16153088091350473,0.21797702982877837,0.3231428023176889,0.0004370311723555773,0.22650834385929788,0.5035851180707751,0.06265660159843378,0.24899486247066185
ICICIBANK,0.17344949129056836,0.5048584770020657,0.2966136357295375,0.16153088091350473,1.0,0.2624935886229205,0.2739424330939926,0.2976737280616357,0.4944471763896217,0.14421831395034,0.3597189843058019,0.22292496468570763
INFY,0.6582128209982475,0.2606586099090913,0.26814307534583026,0.21797702982877837,0.2624935886229205,1.0,0.19023712899379336,0.18767839918358217,0.20141283468420085,0.17029792294439156,0.22869773374956312,0.6953855664027434
ITC,0.17897712206319846,0.19749871618841355,0.22921040589718286,0.3231428023176889,0.2739424330939926,0.19023712899379336,1.0,0.21313729593112743,0.26874705491391265,0.2775356445613995,0.27587488193673887,0.16172383342852836
JINDALSTEL,0.23483788431853073,0.28150938033875,0.6529427365410131,0.0004370311723555773,0.2976737280616357,0.18767839918358217,0.21313729593112743,1.0,0.24046318939868888,0.06842182627624663,0.7956120913840027,0.20342653028407412
KOTAKBANK,0.19835659446202508,0.48686148420834197,0.21782962048144142,0.22650834385929788,0.4944471763896217,0.20141283468420085,0.26874705491391265,0.24046318939868888,1.0,0.18209232615696408,0.23463132467945874,0.16308834209963832
NESTLEIND,0.19972661756321985,0.15864638733674485,0.12608565748902317,0.5035851180707751,0.14421831395034,0.17029792294439156,0.2775356445613995,0.06842182627624663,0.18209232615696408,1.0,0.11731090741979446,0.2220213573325106
TATASTEEL,0.26369530239838634,0.3044046509949456,0.7225322752874686,0.06265660159843378,0.3597189843058019,0.22869773374956312,0.27587488193673887,0.7956120913840027,0.23463132467945874,0.11731090741979446,1.0,0.23609055994085806
TCS,0.6500954290571144,0.23061943759216869,0.2376958170952098,0.24899486247066185,0.22292496468570763,0.6953855664027434,0.16172383342852836,0.20342653028407412,0.16308834209963832,0.2220213573325106,0.23609055994085806,1.0
