,HCLTECH,HDFCBANK,HINDALCO,HINDUNILVR,ICICIBANK,INFY,ITC,JINDALSTEL,KOTAKBANK,NESTLEIND,TATASTEEL,TCS
HCLTECH,0.00022453805176454836,4.792922543872639e-05,9.6116558833575e-05,4.0840519146677275e-05,3.564458561100769e-05,0.00014882564413250187,3.45774425981843e-05,8.391002116073206e-05,4.349221259618801e-05,3.507894587101234e-05,8.285300499669067e-05,0.00012857065697311295
HDFCBANK,4.792922543872639e-05,0.00018629102429399146,8.513730857600175e-05,3.298044632953589e-05,9.450203981336285e-05,5.36827182646466e-05,3.4754465664413455e-05,9.161984074859792e-05,9.723469759001686e-05,2.5380008560778677e-05,8.711804989455581e-05,4.154431950050647e-05
HINDALCO,9.6116558833575e-05,8.513730857600175e-05,0.000488768998262386,2.14491367867844e-05,8.99328802646386e-05,8.945093206525671e-05,6.533359102607933e-05,0.00034421327650592125,7.046746434890498e-05,3.267255707654371e-05,0.00033494228112052483,6.935745369062639e-05
HINDUNILVR,4.0840519146677275e-05,3.298044632953589e-05,2.14491367867844e-05,0.00016704101389798692,2.8631406623953513e-05,4.250976925971924e-05,5.3846368523091064e-05,1.3468668700682052e-07,4.2836664530498616e-05,7.628691596566369e-05,1.6980062743561486e-05,4.247385896470879e-05
ICICIBANK,3.564458561100769e-05,9.450203981336285e-05,8.99328802646386e-05,2.8631406623953513e-05,0.0001880836868497656,5.432012033124315e-05,4.843789338885884e-05,9.734569894127534e-05,9.922368446349269e-05,2.318257057863584e-05,0.00010344269326373542,4.0350976274426906e-05
INFY,0.00014882564413250187,5.36827182646466e-05,8.945093206525671e-05,4.250976925971924e-05,5.432012033124315e-05,0.00022768421191316762,3.7009406027298654e-05,6.752762030029781e-05,4.447065068330304e-05,3.0119060547557193e-05,7.235844342405461e-05,0.00013848792433722432
ITC,3.45774425981843e-05,3.4754465664413455e-05,6.533359102607933e-05,5.3846368523091064e-05,4.843789338885884e-05,3.7009406027298654e-05,0.0001662266862205741,6.552552686458306e-05,5.070070182569973e-05,4.1940611104564516e-05,7.458018051398929e-05,2.7519730482138633e-05
JINDALSTEL,8.391002116073206e-05,9.161984074859792e-05,0.00034421327650592125,1.3468668700682052e-07,9.734569894127534e-05,6.752762030029781e-05,6.552552686458306e-05,0.0005685928483108277,8.390139531136639e-05,1.912321775917901e-05,0.00039779834089495407,6.402182702804916e-05
KOTAKBANK,4.349221259618801e-05,9.723469759001686e-05,7.046746434890498e-05,4.2836664530498616e-05,9.922368446349269e-05,4.447065068330304e-05,5.070070182569973e-05,8.390139531136639e-05,0.00021411138839248634,3.1230370735134565e-05,7.19891047364866e-05,3.149652038577891e-05
NESTLEIND,3.507894587101234e-05,2.5380008560778677e-05,3.267255707654371e-05,7.628691596566369e-05,2.318257057863584e-05,3.0119060547557193e-05,4.1940611104564516e-05,1.912321775917901e-05,3.1230370735134565e-05,0.00013738243957511832,2.8831344968994033e-05,3.4346314397754216e-05
TATASTEEL,8.285300499669067e-05,8.711804989455581e-05,0.00033494228112052483,1.6980062743561486e-05,0.00010344269326373542,7.235844342405461e-05,7.458018051398929e-05,0.00039779834089495407,7.19891047364866e-05,2.8831344968994033e-05,0.0004396648968130577,6.533701571444192e-05
TCS,0.00012857065697311295,4.154431950050647e-05,6.935745369062639e-05,4.247385896470879e-05,4.0350976274426906e-05,0.00013848792433722432,2.7519730482138633e-05,6.402182702804916e-05,3.149652038577891e-05,3.4346314397754216e-05,6.533701571444192e-05,0.0001741965506794264
