,HCLTECH,HDFCBANK,HINDALCO,HINDUNILVR,ICICIBANK,INFY,ITC,JINDALSTEL,KOTAKBANK,NESTLEIND,TATASTEEL,TCS
HCLTECH,0.0,0.618729731444726,0.5957617551737203,0.6281402417533944,0.6428648803245638,0.41339277872366886,0.6407116660155336,0.6185313717514535,0.6331048118352817,0.6325635866997009,0.6067555923111108,0.4182729796095402
HDFCBANK,0.618729731444726,0.0,0.5991056464225832,0.6375891579048046,0.4975648314531154,0.6080055057690303,0.6334434796458112,0.5993707615746909,0.506526660597277,0.6485960270704929,0.5897437362978323,0.6202340535668093
HINDALCO,0.5957617551737203,0.5991056464225832,0.0,0.6800490621371467,0.5930372518950485,0.6049202115379224,0.6208017373134587,0.41656767965061026,0.6253680434426429,0.6610273604439444,0.3724699482592733,0.6173751626461783
HINDUNILVR,0.6281402417533944,0.6375891579048046,0.6800490621371467,0.0,0.647483250395906,0.6253091116284896,0.5817461635809518,0.7069522504482337,0.6218889193982725,0.4982042161248863,0.6845960116746103,0.6127826439812645
ICICIBANK,0.6428648803245638,0.4975648314531154,0.5930372518950485,0.647483250395906,0.0,0.6072505295909916,0.60251869967081,0.5925901922654324,0.5027687458515985,0.6541336583794095,0.5658096038837614,0.6233277770620737
INFY,0.41339277872366886,0.6080055057690303,0.6049202115379224,0.6253091116284896,0.6072505295909916,0.0,0.6363029431828077,0.6373074614408722,0.6318968132993705,0.6440893094344947,0.6210081586623628,0.39026557214111046
ITC,0.6407116660155336,0.6334434796458112,0.6208017373134587,0.5817461635809518,0.60251869967081,0.6363029431828077,0.0,0.6272410637342204,0.6046705487644025,0.6010259376427113,0.6017163443281481,0.6474087451415341
JINDALSTEL,0.6185313717514535,0.5993707615746909,0.41656767965061026,0.7069522504482337,0.5925901922654324,0.6373074614408722,0.6272410637342204,0.0,0.6162535235604383,0.6824874261566118,0.3196778914907921,0.6310996235603084
KOTAKBANK,0.6331048118352817,0.506526660597277,0.6253680434426429,0.6218889193982725,0.5027687458515985,0.6318968132993705,0.6046705487644025,0.6162535235604383,0.0,0.6394949858454857,0.6186148540572484,0.6468816189614456
NESTLEIND,0.6325635866997009,0.6485960270704929,0.6610273604439444,0.4982042161248863,0.6541336583794095,0.6440893094344947,0.6010259376427113,0.6824874261566118,0.6394949858454857,0.0,0.6643376748989197,0.6236900843638167
TATASTEEL,0.6067555923111108,0.5897437362978323,0.3724699482592733,0.6845960116746103,0.5658096038837614,0.6210081586623628,0.6017163443281481,0.3196778914907921,0.6186148540572484,0.6643376748989197,0.0,0.6180248538930866
TCS,0.4182729796095402,0.6202340535668093,0.6173751626461783,0.6127826439812645,0.6233277770620737,0.39026557214111046,0.6474087451415341,0.6310996235603084,0.6468816189614456,0.6236900843638167,0.6180248538930866,0.0
