,Sales +,Expenses +,Operating Profit,OPM %,Other Income +,Interest,Depreciation,Profit before tax,Tax %,Net Profit +,EPS in Rs,Raw PDF
2022-12-01,15597,11903,3694,,7,29,293,3379,,2481,10.53,
2023-03-01,15215,11643,3572,,240,29,291,3492,,2601,11.07,
2023-06-01,15496,11832,3664,,146,50,286,3474,,2556,10.87,
2023-09-01,15623,11828,3795,,178,88,297,3588,,2657,11.3,
2023-12-01,15567,11902,3665,,184,91,313,3445,,2508,10.68,
2024-03-01,15210,11675,3535,,309,105,320,3419,,2561,10.89,
2024-06-01,15707,11965,3742,,209,93,329,3529,,2612,11.11,
2024-09-01,15926,12139,3787,,203,110,338,3542,,2595,11.03,
2024-12-01,15556,11867,3689,,733,109,318,3995,,2989,12.7,
2025-03-01,15670,12052,3618,,171,80,347,3362,,2475,10.49,
2025-06-01,16514,12797,3717,,74,127,361,3303,,2768,11.73,
2025-09-01,15919,12137,3782,,269,124,322,3605,,2694,11.43,
2025-12-01,16441,12660,3781,,4048,88,337,7404,,6603,28.12,
