Date,USDINR
2020-01-01,71.275803
2020-01-02,71.025002
2020-01-03,71.415001
2020-01-06,71.731003
2020-01-07,71.787003
2020-01-08,72.160004
2020-01-09,71.411903
2020-01-10,71.194298
2020-01-13,70.953003
2020-01-14,70.718903
2020-01-15,70.845100
2020-01-16,70.718002
2020-01-17,70.945602
2020-01-20,71.034698
2020-01-21,71.030998
2020-01-22,71.169998
2020-01-23,71.078102
2020-01-24,71.320999
2020-01-27,71.324997
2020-01-28,71.440002
2020-01-29,71.230400
2020-01-30,71.300003
2020-01-31,71.639999
2020-02-03,71.496498
2020-02-04,71.314102
2020-02-05,71.099998
2020-02-06,71.180000
2020-02-07,71.470001
2020-02-10,71.515503
2020-02-11,71.279999
2020-02-12,71.275299
2020-02-13,71.296204
2020-02-14,71.268501
2020-02-17,71.514801
2020-02-18,71.349197
2020-02-19,71.574997
2020-02-20,71.827499
2020-02-21,72.110001
2020-02-24,71.886803
2020-02-25,72.046700
2020-02-26,71.870003
2020-02-27,71.663399
2020-02-28,71.930000
2020-03-02,72.150002
2020-03-03,72.824997
2020-03-04,73.342003
2020-03-05,74.042503
2020-03-06,73.855103
2020-03-09,73.995300
2020-03-10,74.405998
2020-03-11,74.205002
2020-03-12,74.760002
2020-03-13,75.300003
2020-03-16,73.903999
2020-03-17,75.154999
2020-03-18,74.012398
2020-03-19,74.982002
2020-03-20,75.159698
2020-03-23,75.622101
2020-03-24,76.505997
2020-03-25,77.260002
2020-03-26,75.845497
2020-03-27,74.725601
2020-03-30,75.464996
2020-03-31,75.400002
2020-04-01,75.324997
2020-04-02,77.570000
2020-04-03,77.139999
2020-04-06,76.230003
2020-04-07,75.964897
2020-04-08,76.660004
2020-04-09,75.959000
2020-04-10,76.650002
2020-04-13,76.166496
2020-04-14,76.910004
2020-04-15,75.931000
2020-04-16,77.212502
2020-04-17,77.570000
2020-04-20,76.559998
2020-04-21,77.209999
2020-04-22,76.969398
2020-04-23,76.400002
2020-04-24,76.422501
2020-04-27,76.271500
2020-04-28,76.186302
2020-04-29,76.464996
2020-04-30,75.258499
2020-05-01,75.720001
2020-05-04,75.600502
2020-05-05,75.849998
2020-05-06,76.169998
2020-05-07,76.151299
2020-05-08,76.080002
2020-05-11,75.525002
2020-05-12,76.309998
2020-05-13,75.680000
2020-05-14,75.426201
2020-05-15,75.485001
2020-05-18,75.820000
2020-05-19,75.600098
2020-05-20,76.000000
2020-05-21,75.779999
2020-05-22,75.625000
2020-05-25,75.985001
2020-05-26,76.110001
2020-05-27,75.820000
2020-05-28,76.129997
2020-05-29,75.959999
2020-06-01,75.513199
2020-06-02,75.730003
2020-06-03,75.065804
2020-06-04,75.544998
2020-06-05,75.490898
2020-06-08,75.517700
2020-06-09,75.625000
2020-06-10,75.509804
2020-06-11,75.875000
2020-06-12,76.389999
2020-06-15,75.956802
2020-06-16,75.977997
2020-06-17,76.654999
2020-06-18,76.550003
2020-06-19,76.400398
2020-06-22,76.252098
2020-06-23,75.789803
2020-06-24,75.607803
2020-06-25,75.970001
2020-06-26,75.539803
2020-06-29,75.619797
2020-06-30,75.699997
2020-07-01,75.750000
2020-07-02,75.454903
2020-07-03,74.721001
2020-07-06,74.679298
2020-07-07,74.607597
2020-07-08,75.125000
2020-07-09,74.939903
2020-07-10,75.339996
2020-07-13,75.158501
2020-07-14,75.449997
2020-07-15,75.574997
2020-07-16,75.124901
2020-07-17,75.174500
2020-07-20,74.897301
2020-07-21,74.989998
2020-07-22,74.769997
2020-07-23,74.820000
2020-07-24,74.807297
2020-07-27,74.759804
2020-07-28,75.000000
2020-07-29,75.089996
2020-07-30,74.831200
2020-07-31,74.989998
2020-08-03,74.917801
2020-08-04,75.330002
2020-08-05,75.250000
2020-08-06,74.882202
2020-08-07,74.899803
2020-08-10,75.024803
2020-08-11,75.099998
2020-08-12,74.900002
2020-08-13,74.772102
2020-08-14,75.029999
2020-08-17,74.902802
2020-08-18,75.000000
2020-08-19,74.794998
2020-08-20,74.966797
2020-08-21,74.999901
2020-08-24,74.921799
2020-08-25,74.400002
2020-08-26,74.452499
2020-08-27,74.240097
2020-08-28,73.774498
2020-08-31,73.128304
2020-09-01,73.669998
2020-09-02,73.269997
2020-09-03,73.248497
2020-09-04,73.447899
2020-09-07,73.290298
2020-09-08,73.650002
2020-09-09,73.786797
2020-09-10,73.550003
2020-09-11,73.527298
2020-09-14,73.478600
2020-09-15,73.614998
2020-09-16,73.800003
2020-09-17,73.550697
2020-09-18,73.583603
2020-09-21,73.534798
2020-09-22,73.579803
2020-09-23,73.502998
2020-09-24,73.778397
2020-09-25,73.682404
2020-09-28,73.699303
2020-09-29,73.974998
2020-09-30,73.845001
2020-10-01,73.705002
2020-10-02,73.217003
2020-10-05,73.322403
2020-10-06,73.108299
2020-10-07,73.815002
2020-10-08,73.542503
2020-10-09,73.280502
2020-10-12,73.014801
2020-10-13,73.350800
2020-10-14,73.620003
2020-10-15,73.296204
2020-10-16,73.371002
2020-10-19,73.443802
2020-10-20,73.574997
2020-10-21,73.647499
2020-10-22,73.681297
2020-10-23,73.720001
2020-10-26,73.822899
2020-10-27,73.948502
2020-10-28,73.805000
2020-10-29,74.440002
2020-10-30,74.264000
2020-11-02,74.550499
2020-11-03,74.456802
2020-11-04,74.655602
2020-11-05,74.379997
2020-11-06,74.120003
2020-11-09,73.979797
2020-11-10,73.953201
2020-11-11,74.281601
2020-11-12,74.570000
2020-11-13,74.864998
2020-11-16,74.487701
2020-11-17,74.418098
2020-11-18,74.479698
2020-11-19,74.419998
2020-11-20,74.099602
2020-11-23,74.162399
2020-11-24,74.244904
2020-11-25,73.960800
2020-11-26,73.779900
2020-11-27,74.048798
2020-11-30,73.940903
2020-12-01,74.025200
2020-12-02,73.654999
2020-12-03,73.662598
2020-12-04,73.864899
2020-12-07,73.790298
2020-12-08,74.019997
2020-12-09,73.726402
2020-12-10,73.934998
2020-12-11,73.726700
2020-12-14,73.737999
2020-12-15,73.860001
2020-12-16,73.759804
2020-12-17,73.616600
2020-12-18,73.529800
2020-12-21,73.603600
2020-12-22,73.935303
2020-12-23,74.269997
2020-12-24,73.839798
2020-12-25,73.557800
2020-12-28,73.689003
2020-12-29,73.544899
2020-12-30,73.453598
2020-12-31,73.134003
2021-01-01,73.089203
2021-01-04,73.092003
2021-01-05,73.320000
2021-01-06,73.374802
2021-01-07,73.360001
2021-01-08,73.445999
2021-01-11,73.373398
2021-01-12,73.513496
2021-01-13,73.165001
2021-01-14,73.169899
2021-01-15,73.087601
2021-01-18,73.158997
2021-01-19,73.188698
2021-01-20,73.191902
2021-01-21,72.910896
2021-01-22,72.954903
2021-01-25,72.995903
2021-01-26,72.970001
2021-01-27,72.919998
2021-01-28,73.037102
2021-01-29,72.938797
2021-02-01,72.906601
2021-02-02,73.119797
2021-02-03,72.916298
2021-02-04,72.858002
2021-02-05,72.945702
2021-02-08,72.784798
2021-02-09,72.929901
2021-02-10,72.854897
2021-02-11,72.807297
2021-02-12,72.709503
2021-02-15,72.594803
2021-02-16,72.638702
2021-02-17,72.934998
2021-02-18,72.797302
2021-02-19,72.605400
2021-02-22,72.553001
2021-02-23,72.444000
2021-02-24,72.376999
2021-02-25,72.400002
2021-02-26,73.150902
2021-03-01,73.595901
2021-03-02,73.309402
2021-03-03,73.277496
2021-03-04,72.880699
2021-03-05,73.131798
2021-03-08,73.133400
2021-03-09,73.330002
2021-03-10,72.775902
2021-03-11,72.706001
2021-03-12,72.639000
2021-03-15,72.682999
2021-03-16,72.515297
2021-03-17,72.515602
2021-03-18,72.295601
2021-03-19,72.668800
2021-03-22,72.404999
2021-03-23,72.380501
2021-03-24,72.612198
2021-03-25,72.645599
2021-03-26,72.612801
2021-03-29,72.447197
2021-03-30,72.741898
2021-03-31,73.445297
2021-04-01,73.203499
2021-04-02,73.287300
2021-04-05,73.375999
2021-04-06,73.279503
2021-04-07,73.489998
2021-04-08,74.401497
2021-04-09,74.544502
2021-04-12,74.729500
2021-04-13,74.990997
2021-04-14,75.181503
2021-04-15,75.026100
2021-04-16,74.727402
2021-04-19,74.563202
2021-04-20,74.878197
2021-04-21,75.449203
2021-04-22,75.429497
2021-04-23,75.091698
2021-04-26,74.868103
2021-04-27,74.814903
2021-04-28,74.574997
2021-04-29,74.311798
2021-04-30,74.105797
2021-05-03,74.094803
2021-05-04,73.837502
2021-05-05,73.778900
2021-05-06,73.799400
2021-05-07,73.615196
2021-05-10,73.290298
2021-05-11,73.500000
2021-05-12,73.375099
2021-05-13,73.681602
2021-05-14,73.444901
2021-05-17,73.278900
2021-05-18,73.269699
2021-05-19,73.128197
2021-05-20,73.222900
2021-05-21,73.021896
2021-05-24,72.909798
2021-05-25,72.836601
2021-05-26,72.804901
2021-05-27,72.672501
2021-05-28,72.682999
2021-05-31,72.393501
2021-06-01,72.487198
2021-06-02,72.855003
2021-06-03,72.965103
2021-06-04,73.044197
2021-06-07,72.909698
2021-06-08,72.809402
2021-06-09,72.975304
2021-06-10,72.985298
2021-06-11,73.012299
2021-06-14,73.231598
2021-06-15,73.180801
2021-06-16,73.344704
2021-06-17,73.824097
2021-06-18,74.253899
2021-06-21,74.143898
2021-06-22,74.135201
2021-06-23,74.332199
2021-06-24,74.246902
2021-06-25,74.190300
2021-06-28,74.212997
2021-06-29,74.285400
2021-06-30,74.287598
2021-07-01,74.371002
2021-07-02,74.544998
2021-07-05,74.481796
2021-07-06,74.317802
2021-07-07,74.762901
2021-07-08,74.821899
2021-07-09,74.721397
2021-07-12,74.490501
2021-07-13,74.541702
2021-07-14,74.659103
2021-07-15,74.469101
2021-07-16,74.537003
2021-07-19,74.631798
2021-07-20,74.993401
2021-07-21,74.527000
2021-07-22,74.440201
2021-07-23,74.452003
2021-07-26,74.448898
2021-07-27,74.289497
2021-07-28,74.502296
2021-07-29,74.389999
2021-07-30,74.251999
2021-08-02,74.379097
2021-08-03,74.332001
2021-08-04,74.214401
2021-08-05,74.183998
2021-08-06,74.082001
2021-08-09,74.491402
2021-08-10,74.466202
2021-08-11,74.435501
2021-08-12,74.102997
2021-08-13,74.260101
2021-08-16,74.216797
2021-08-17,74.135002
2021-08-18,74.364502
2021-08-19,74.269798
2021-08-20,74.429298
2021-08-23,74.301498
2021-08-24,74.105904
2021-08-25,74.144798
2021-08-26,74.099998
2021-08-27,74.155998
2021-08-30,73.496597
2021-08-31,73.411201
2021-09-01,72.996696
2021-09-02,72.985100
2021-09-03,73.054298
2021-09-06,72.994499
2021-09-07,73.110001
2021-09-08,73.390404
2021-09-09,73.789001
2021-09-10,73.538002
2021-09-13,73.524300
2021-09-14,73.540802
2021-09-15,73.650803
2021-09-16,73.438004
2021-09-17,73.564903
2021-09-20,73.696098
2021-09-21,73.658997
2021-09-22,73.792702
2021-09-23,73.874901
2021-09-24,73.839996
2021-09-27,73.812897
2021-09-28,73.825302
2021-09-29,74.163300
2021-09-30,74.321999
2021-10-01,74.254402
2021-10-04,74.152100
2021-10-05,74.572800
2021-10-06,74.563202
2021-10-07,74.760002
2021-10-08,74.830002
2021-10-11,75.305801
2021-10-12,75.402603
2021-10-13,75.483902
2021-10-14,75.306297
2021-10-15,74.995003
2021-10-18,75.005898
2021-10-19,75.235497
2021-10-20,75.120102
2021-10-21,74.809196
2021-10-22,74.865402
2021-10-25,74.993698
2021-10-26,75.089897
2021-10-27,74.888901
2021-10-28,75.050003
2021-10-29,74.797203
2021-11-01,74.928299
2021-11-02,74.829903
2021-11-03,74.711998
2021-11-04,74.435501
2021-11-05,74.478104
2021-11-08,74.191101
2021-11-09,73.918503
2021-11-10,74.174797
2021-11-11,74.404900
2021-11-12,74.322098
2021-11-15,74.339996
2021-11-16,74.435097
2021-11-17,74.458603
2021-11-18,74.259804
2021-11-19,74.174400
2021-11-22,74.302597
2021-11-23,74.429802
2021-11-24,74.446999
2021-11-25,74.625000
2021-11-26,74.505798
2021-11-29,74.981598
2021-11-30,75.054901
2021-12-01,75.050903
2021-12-02,75.017899
2021-12-03,74.983498
2021-12-06,75.234001
2021-12-07,75.391296
2021-12-08,75.408600
2021-12-09,75.383301
2021-12-10,75.599197
